,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
35,Nicki Minaj,Moment 4 Life,0ConttVd0Ebk3dLNquOmh0,0.406,0.68,279307,0.882,0.0,11,0.241,-3.883,1,0.236,97.943,4,0.386
36,Sean Kingston,Dumb Love,7BGkpHiIqGGA8B9rRPf5VL,0.356,0.758,186773,0.646,0.0,0,0.473,-3.662,1,0.0721,128.03,4,0.877
37,Drake,Best I Ever Had,1GxHeBvQ9935Dd3cSfsfBa,0.0951,0.431,258760,0.894,0.0,5,0.188,-2.673,0,0.33,162.161,4,0.605
38,CeeLo Green,Forget You,7AqISujIaWcY3h5zrOqt5v,0.134,0.696,222733,0.875,0.0,0,0.159,-3.682,1,0.0649,127.39,4,0.772
39,Soulja Boy,Pretty Boy Swag,2zOWuWdyuMqOoboNRKlJO0,0.177,0.837,236093,0.42,0.0,8,0.356,-5.158,1,0.0629,123.157,4,0.143
40,Drake,Find Your Love,4BycRneKmOs6MhYG9THsuX,0.0211,0.627,208947,0.614,0.0,6,0.0286,-6.006,0,0.17,96.038,4,0.758
41,Ludacris,How Low,1WtTLtofvcjQM3sXSMkDdX,0.00248,0.785,201587,0.498,1.23e-06,1,0.224,-6.977,1,0.0533,143.96,4,0.418
42,Mac Miller,Ayye,75fDVecaFMegTxBhb4ceqL,0.0613,0.764,165911,0.719,0.0,10,0.0982,-6.939,0,0.0769,106.96,4,0.452
43,Scarface,Smile,2wxO3ZydJTZRi4Bbc02q7i,0.0498,0.7,300600,0.402,1.04e-06,5,0.16,-9.93,0,0.278,77.871,4,0.499
44,YG,Toot It And Boot It,3AqcBOSlJF7xMgvLpQoa3c,0.127,0.8,243747,0.536,0.0,7,0.106,-9.533,1,0.0893,95.03,4,0.247
45,Gorillaz,Rhinestone Eyes,1foMv2HQwfQ2vntFf9HFeG,0.0869,0.676,200173,0.703,0.000687,8,0.0463,-5.815,0,0.0302,92.761,4,0.852
46,Yelawolf,Daddy's Lambo,49rnuaQOpoTeKe0PA5nKdo,0.0259,0.779,227573,0.725,0.0,11,0.0946,-7.128,1,0.145,131.997,4,0.335
47,Mac Miller,Nikes On My Feet,29GefKRTSVW3ag4Xegm8jP,0.563,0.8,164632,0.569,0.0,9,0.111,-5.104,0,0.265,92.063,4,0.589
48,Eminem,25 To Life,0dyWQoMOU9oERL6c9vxtRp,0.239,0.701,241587,0.931,0.0,8,0.194,-0.945,0,0.243,79.996,4,0.362
49,Mac Miller,Senior Skip Day,6vVftwBiIaM9xDVZhSwTCJ,0.556,0.522,175783,0.725,0.0,5,0.799,-5.184,0,0.302,108.36,4,0.81
50,Gorillaz,Empire Ants (feat. Little Dragon),3a6PN6BRB8PP3ms48s7kU1,0.181,0.601,283573,0.772,0.0543,0,0.0928,-4.137,0,0.031,99.445,4,0.294
51,Yelawolf,Pop The Trunk,25G8NNFBnjXgWCGtyPa1Ax,0.0995,0.912,228160,0.673,0.0,2,0.103,-8.91,1,0.109,120.157,4,0.123
52,Drake,Fancy,3fpTMuD1u3gJlVI4FadVHs,0.332,0.53,319387,0.884,1.98e-06,0,0.355,-5.581,0,0.457,87.194,4,0.28
53,Mac Miller,Nikes on My Feet,4Hq1q82uvzNxUYmgBOxPco,0.537,0.823,164411,0.438,0.0,9,0.105,-8.728,0,0.279,92.047,4,0.59
