,artist_name,track_name,track_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33,Keri Hilson,Pretty Girl Rock,2Adn2LNgkHMH5TelQVAu4n,2010,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,243920,4
34,Gorillaz,On Melancholy Hill,0q6LuUqGLUiCPP1cbdwFs3,2010,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867,4
35,Kid Cudi,Erase Me - Main,6XkuklKiHYVTlVvWlTgQYP,2010,0.687,0.631,9,-5.612,1,0.129,0.063,0.0,0.108,0.853,186.071,192253,4
36,Jeremih,Love Don't Change,6PmjWl0phNxc0R5OwkDdiZ,2010,0.539,0.424,11,-9.361,1,0.0406,0.317,0.0,0.108,0.17,118.071,256867,4
37,Usher,OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,2010,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4
38,Lil Wayne,Right Above It,1kMuU3TNQvHbqvXCWBodmP,2010,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052,271947,4
39,Jeremih,Down On Me,0x3TibRgnSqzkcwrqBd4iX,2010,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,228453,4
40,Train,Marry Me,2MWOqewf5j0qf2b6S5J6cS,2010,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,205453,4
41,Lady A,Need You Now,11EX5yhxr9Ihl3IN1asrfK,2010,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4
42,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",12PNcnMsjsZ3eHm62t8hiy,2010,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,232507,4
43,Kesha,Cannibal,3JTMWdhcJPiegDSe7SvZS3,2010,0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,194253,4
44,Kesha,Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,2010,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4
45,Katy Perry,Teenage Dream,5jzKL4BDMClWqRguW5qZvh,2010,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,4
46,Taio Cruz,Break Your Heart,1CdqVF1ywD0ZO1zXtB9yWa,2010,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,186267,4
47,Travie McCoy,Billionaire (feat. Bruno Mars),2M9ULmQwTaTGmAdXaXpfz5,2010,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,211160,4
48,Rick Ross,Aston Martin Music,5W7xC99N2Zzfh69r7I7zWK,2010,0.57,0.58,1,-5.547,1,0.21,0.0124,0.0,0.0498,0.404,171.812,270627,4
49,Big Time Rush,Boyfriend,1rKBOL9kJfX1Y4C3QaOvRH,2010,0.614,0.857,1,-4.171,0,0.111,0.0987,0.0,0.177,0.677,164.146,201040,4
50,Rihanna,S&M,7ySUcLPVX7KudhnmNcgY2D,2010,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,243600,4
51,B.o.B,Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,2010,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,196133,4
52,Mandy Moore,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",03xWMkKEbeO4SnylA53ipj,2010,0.673,0.42,4,-7.581,1,0.0317,0.112,0.0,0.0897,0.385,108.066,152333,4
53,Dr. Dog,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,2010,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,4
54,Ludacris,My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,2010,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,216933,4
55,Rihanna,Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,2010,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,235493,4
56,Bruno Mars,Runaway Baby,5MMLS3xm12D7N26xlfFApr,2010,0.656,0.767,11,-3.038,1,0.0396,0.25,0.0,0.114,0.871,163.834,147747,4
57,Enrique Iglesias,I Like It,4nVyHATevhl5RC6Qmoko5H,2010,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,231787,4
58,Plain White T's,Rhythm Of Love,6MDTpYxPFL0wtFd0pjfKws,2010,0.531,0.542,8,-7.721,1,0.0432,0.356,0.0,0.119,0.726,171.878,200200,4
59,Black Eyed Peas,Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,2010,0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,219427,4
60,Mandy Moore,"I've Got a Dream - From ""Tangled""/Soundtrack Version",0TCt7OFRdD8PQ6vTRQxNgQ,2010,0.604,0.541,1,-7.378,0,0.0915,0.639,0.0,0.169,0.892,134.326,191413,4
61,Two Door Cinema Club,Undercover Martyn,0Hrd6CSafHHqKptyFppmqH,2010,0.442,0.872,2,-5.072,1,0.123,0.00025,1.74e-05,0.0602,0.568,159.867,167773,4
62,Flo Rida,Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,2010,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,234560,4
63,Katy Perry,California Gurls,6KOEK6SeCEZOQkLj5M1PxH,2010,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,234653,4
64,Taylor Swift,Mine,0dBW6ZsW8skfvoRfgeerBF,2010,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,230707,4
65,Katy Perry,Firework,4r6eNCsrZnQWJzzvFh4nlg,2010,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,227893,4
66,Taylor Swift,Mean,5yEPktRqvIhko5QFF3aBhQ,2010,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,237733,4
67,Taylor Swift,Back To December,3DrjZArsPsoqbLzUZZV1Id,2010,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,293027,4
68,Shontelle,Impossible - Main,45EDI3rk0f4cAMt9f8b56R,2010,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,226533,4
69,The Naked And Famous,Young Blood,25nzKGDiua1lE9Qo5V19GL,2010,0.579,0.865,6,-4.692,1,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,246600,4
70,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",74tQaH4CxM5Rs9BzerEbHr,2010,0.513,0.496,11,-6.049,1,0.0511,0.46,0.0,0.106,0.676,113.072,186893,4
71,Nicki Minaj,Moment 4 Life,0ConttVd0Ebk3dLNquOmh0,2010,0.68,0.882,11,-3.883,1,0.236,0.406,0.0,0.241,0.386,97.943,279307,4
72,Sick Puppies,You're Going Down,5omWAB5iNMHvbAfBSzkdu8,2010,0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,187347,4
73,Sean Kingston,Dumb Love,7BGkpHiIqGGA8B9rRPf5VL,2010,0.758,0.646,0,-3.662,1,0.0721,0.356,0.0,0.473,0.877,128.03,186773,4
74,Justin Bieber,That Should Be Me,0aPZbnkMoWJaJ5CNVLCj8S,2010,0.552,0.603,8,-5.71,1,0.0334,0.199,0.0,0.151,0.231,139.908,232720,4
75,Kesha,Take It Off,0WCiI0ddWiu5F2kSHgfw5S,2010,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,215200,4
76,Ellie Goulding,Lights - Single Version,7gUpO6td4OOnu0Lf9vhcIV,2010,0.683,0.789,8,-6.132,0,0.0353,0.0283,0.0492,0.112,0.809,120.013,211800,4
77,Drake,Over,6BdgtqiV3oXNqBikezwdvC,2010,0.35,0.845,7,-5.614,1,0.2,0.0107,0.0,0.123,0.45,99.643,233560,5
78,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),5BB0Jzw60KyfSTyjJqtely,2010,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,205960,4
79,Katy Perry,The One That Got Away,6hkOqJ5mE093AQf2lbZnsG,2010,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,227333,4
80,Maroon 5,Misery,6KBYk8OFtod7brGuZ3Y67q,2010,0.704,0.81,4,-4.874,0,0.0425,0.000315,0.0,0.216,0.726,102.98,216200,4
81,Robyn,Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,2010,0.573,0.926,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.219,117.047,278080,4
82,Lady A,American Honey,4xInIiKipU1mtUogJ3ZdYr,2010,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997,224867,4
83,T.I.,That's All She Wrote,6XAA7T9VHcqKQSzjmXAJ8o,2010,0.496,0.785,7,-3.472,1,0.306,0.0328,0.0,0.0941,0.357,170.02,318360,4
84,Diddy - Dirty Money,Coming Home,6Iocm6VMu6bVNYwiDoyQFW,2010,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,238693,4
85,Sara Bareilles,King of Anything,3VA8T3rNy5V24AXxNK5u9E,2010,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,207493,4
86,Drake,Up All Night,75L0qdzRnhwV62UXoNq3pE,2010,0.606,0.811,7,-4.667,1,0.278,0.00782,1.49e-05,0.349,0.276,156.347,234333,4
87,3OH!3,My First Kiss (feat. Ke$ha),17tDv8WA8IhqE8qzuQn707,2010,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,192440,4
88,Waka Flocka Flame,Hard in Da Paint,3XQY8kDjI8LARMIC9xkxQk,2010,0.611,0.66,11,-5.883,1,0.0839,0.198,0.0,0.365,0.583,71.544,246387,4
89,Rihanna,What's My Name?,6DkXLzBQT7cwXmTyzAB1DJ,2010,0.689,0.784,2,-2.972,1,0.074,0.182,0.0,0.0843,0.561,99.954,263173,4
90,Miguel,All I Want Is You,5VA4Ispp52EA1sOqzMz3Av,2010,0.776,0.603,5,-5.696,1,0.0343,0.0728,6.25e-05,0.111,0.921,96.888,295920,4
91,Kesha,Blow,3pYDZTJM2tVBUhIRifWVzI,2010,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013,219973,4
92,Justin Bieber,Somebody To Love,3rLIv187BhjyweFe89SgLn,2010,0.714,0.833,5,-5.239,1,0.0259,0.00249,0.0,0.298,0.663,129.964,220920,4
