,artist_name,track_name,track_id,popularity
79,Slipknot,Birth Of The Cruel,7I6p0xNYahHpUUXj785URX,60
80,Bring Me The Horizon,medicine,3GHtEaicELsTViK08EXEQQ,62
81,Sabaton,Great War,4fmr8c3rh0dUKjw14UGfaH,64
82,The Devil Wears Prada,Chemical,4mGHzFvAiRCSOPIpjLvf80,56
83,Bring Me The Horizon,wonderful life (feat. Dani Filth),0ceW5TkemJUEmJERavfqQq,61
84,Bad Wolves,Learn To Walk Again,0WqNI4pN93epyGavKOHqgj,58
85,Killswitch Engage,Unleashed,0TB3g8StOcm9UacldRD2Rj,52
86,We Came As Romans,Carry the Weight,17aUTUaDHrwv49PViccjy9,57
87,Sleeping With Sirens,Agree to Disagree,58Eyr2rZWIYM19qhpals74,58
88,Bring Me The Horizon,¿ (feat. Halsey),6shny2UVkpaLc7jEKEoePa,57
89,Dayseeker,Burial Plot,0v1QET6Q1YD7HQK4FBT8on,56
90,I Prevail,DOA,1mMcmRSdnLLu4UdQogH6zf,56
91,In Flames,I Am Above,6qgpBezjMvybos30jStS2Z,53
92,Slipknot,Critical Darling,3XFaGEb6daqdj39ThpJ2XI,60
93,After The Burial,Behold The Crown,4sIPJ0x9xEabKrsGxDP2kb,55
94,Sabaton,82nd All the Way,4zvXVO0SrMYIMHVGdOm0DA,62
95,Ghost,Mary On A Cross,2HZLXBOnaSRhXStMLrq9fD,60
96,I Prevail,Deadweight,7N1t3vT849WXqA4QA1IjoV,56
97,TOOL,Culling Voices,3gPxMQWDMSEyPXMtzbcDdQ,57
98,Bring Me The Horizon,why you gotta kick me when i'm down?,2lLsjgDoS0Hg5pNNHymXGG,60
99,Bring Me The Horizon,heavy metal (feat. Rahzel),6baGTtDakSNvUfW3FJd8yX,60
100,Motionless In White,Headache,1zVuDtGYWtwg2Id64zrL2K,55
101,Sum 41,Out For Blood,30XUVaCG8ghAiE45SnXLhn,62
102,Bring Me The Horizon,nihilist blues (feat. Grimes),1JdWRS3PBZlSgKcPKcULtr,60
103,Fozzy,Nowhere To Run,5KdOgQ3VAK05QrGC98X9ta,55
104,Wind Rose,Diggy Diggy Hole,0SgF8g6fjZ89LM9jdrdPtU,50
105,Wage War,Grave,5t1sJQEcAltWjCfGL50aQT,55
106,Bring Me The Horizon,mother tongue,5IwUFTiNkarb5HEtNRtRtc,61
107,Papa Roach,Elevate,79TiPV8cXmsG6ssu4nWu88,57
108,Motionless In White,</c0de>,3p3t4C8mvtZrFBRs6OE7eY,56
109,Rammstein,RADIO,5vZ4IeUenK2cHub2d7yfWk,68
