,artist_name,track_name,track_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33,Iration,Time Bomb,0KtKac3tvjeGjg6FXcUy7X,2010,0.754,0.59,4,-6.525,0,0.046,0.192,0.0,0.11,0.784,147.107,190693,4
34,Brantley Gilbert,Country Must Be Country Wide,454JIJlQ8GvrCoBvSfq3KA,2010,0.409,0.765,11,-5.696,1,0.0412,0.0249,6.16e-06,0.104,0.5,83.093,214827,4
35,Pierce The Veil,Bulletproof Love,6bGac1gBHs7kUKihrudMzq,2010,0.452,0.964,6,-2.877,1,0.0792,0.00205,5.31e-06,0.205,0.464,144.048,237400,4
36,The Steeldrivers,Where Rainbows Never Die,2gE58DQyqgsvsK87SWUN62,2010,0.603,0.341,4,-8.892,1,0.0264,0.921,0.00314,0.102,0.365,113.452,229880,4
37,Kansas,Carry on Wayward Son,2SUpC3UgKwLVOS2FtZif9N,2010,0.452,0.788,7,-5.712,1,0.0326,0.00283,0.000116,0.441,0.793,126.739,322093,4
38,Jaron And The Long Road To Love,Pray For You,3HMMQkT3IMvMBbvxUNPpK3,2010,0.4,0.635,10,-5.787,1,0.0436,0.612,0.0,0.149,0.395,139.649,190240,4
39,Darius Rucker,Come Back Song,4sHOAALFZiNa4wukjPSBpq,2010,0.516,0.745,9,-5.674,1,0.0381,0.138,0.0,0.114,0.77,177.781,235147,4
40,Robyn,Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,2010,0.573,0.926,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.219,117.047,278080,4
41,Sara Bareilles,King of Anything,3VA8T3rNy5V24AXxNK5u9E,2010,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,207493,4
42,LCD Soundsystem,Dance Yrself Clean,2cmRpmO04TLaKPzmAzySYZ,2010,0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,536471,4
43,Billy Currington,Let Me Down Easy,1tZ5C8zI326sIB4kBErdmC,2010,0.606,0.497,1,-5.005,1,0.0278,0.361,0.0,0.106,0.18,125.059,228493,4
44,Clay Walker,She Won't Be Lonely Long,0158TMiGmHyibaDeaUKayX,2010,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002,209253,4
45,John Fogerty,Centerfield,2iRfjwzPsooCskZrrlsgcC,2010,0.777,0.948,7,-3.648,1,0.0479,0.127,5.36e-06,0.0708,0.973,142.359,231347,4
46,Zac Brown Band,Keep Me in Mind,2RWoCx917at0tDmpvIyiMH,2010,0.684,0.715,6,-6.132,1,0.0336,0.159,0.0,0.181,0.564,96.018,214107,4
47,Pierce The Veil,Caraphernelia,2G8PweZBBwTpyP8vpNQJK2,2010,0.531,0.984,3,-3.767,0,0.0652,0.0017,1.13e-05,0.361,0.386,107.036,268480,4
48,Iration,Falling,2tP2rytUFVm6lhCznfLbv6,2010,0.799,0.416,7,-9.547,1,0.0428,0.00765,2.07e-06,0.122,0.818,125.01,240760,4
49,Chris Tomlin,Our God,40lKptao1hxVqA7fd1OOGp,2010,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,285160,4
50,Journey,Don't Stop Believin',3HRQtRUYnnuZY7fE900XtJ,2010,0.495,0.781,4,-8.109,1,0.0413,0.254,0.0,0.395,0.473,119.206,248200,4
51,Brantley Gilbert,You Don't Know Her Like I Do,4WnY4W5KrqglCdIus8X9Bo,2010,0.49,0.716,4,-6.681,1,0.0441,0.022,0.00048,0.0526,0.288,74.988,286520,4
52,The Black Keys,Everlasting Light,6dU5RxthbuaN31bRbEDlNw,2010,0.641,0.582,4,-6.554,1,0.0483,0.127,0.00632,0.354,0.725,181.039,203773,4
53,Billy Ocean,Caribbean Queen (No More Love On the Run),4JEylZNW8SbO4zUyfVrpb7,2010,0.79,0.649,5,-7.506,1,0.0265,0.166,8.68e-05,0.092,0.954,113.797,244427,4
54,Phantogram,When I'm Small,21nf6u3sQbfViHX7wNZmhK,2010,0.646,0.758,10,-4.34,1,0.0314,0.191,0.097,0.103,0.424,91.998,249067,4
55,MGMT,Congratulations,6kblAEj0T0312fv5QWsXzo,2010,0.761,0.637,7,-8.169,1,0.0268,0.439,0.0082,0.102,0.656,125.115,235387,4
56,10 Years,Fix Me,60OKW0mZiPFHVpHl3eHueg,2010,0.448,0.84,1,-3.939,0,0.0362,0.0012,0.0,0.0891,0.234,157.975,215840,4
